"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"480","cameron","40,834",480,77.9,578,"52,439"
"481","blankenship","40,521",481,95,731,"42,663"
"482","mcclure","40,324",482,86.7,672,"46,505"
"483","massey","40,313",483,75.4,568,"53,459"
"484","eaton","40,250",484,86.7,676,"46,403"
"485","barry","40,184",485,89.2,691,"45,044"
"486","randall","40,090",486,76.4,574,"52,495"
"487","davenport","40,080",487,73.9,561,"54,206"
"488","tyler","40,072",488,64.1,477,"62,534"
"489","parrish","40,010",489,81.9,632,"48,823"
"490","melton","39,988",490,82.3,634,"48,594"
"491","dyer","39,970",491,85.8,671,"46,574"
"492","whitaker","39,888",492,73.4,558,"54,343"
"493","stout","39,883",493,93.5,730,"42,669"
"494","bond","39,856",494,78.2,603,"50,980"
"495","roy","39,730",495,79.9,621,"49,725"
"496","snow","39,635",496,86.7,687,"45,689"
"497","wyatt","39,621",497,77.9,604,"50,874"
"498","sawyer","39,592",498,82.5,646,"47,979"
"499","knapp","39,575",499,95.9,760,"41,267"
"500","baxter","39,525",500,82.6,647,"47,857"
"501","henson","39,366",501,84.5,669,"46,609"
"502","nolan","39,348",502,88.6,705,"44,421"
"503","bartlett","39,294",503,92.4,735,"42,512"
"504","schaefer","39,285",504,96.6,773,"40,663"
"505","marks","39,277",505,81.4,644,"48,281"
"506","stark","39,230",506,93.7,751,"41,863"
"507","nielsen","39,215",507,95.6,765,"41,007"
"508","clayton","39,203",508,71.4,548,"54,875"
"509","gates","39,142",509,77.1,607,"50,748"
"510","sexton","39,101",510,92.9,747,"42,080"
"511","tate","39,088",511,58.2,440,"67,208"
"512","tanner","39,014",512,84.1,675,"46,412"
"513","bass","38,995",513,71.8,559,"54,296"
"514","mckee","38,964",514,89.5,717,"43,555"
"515","mathews","38,918",515,76.9,609,"50,608"
"516","herman","38,871",516,92.3,746,"42,091"
"517","shields","38,792",517,78.3,623,"49,556"
"518","stephenson","38,739",518,83,668,"46,662"
"519","reilly","38,726",519,96.1,780,"40,310"
"520","hurst","38,572",520,86.5,702,"44,587"
"521","johns","38,422",521,81.2,656,"47,289"
"522","vance","38,175",522,83.4,686,"45,763"
"523","richard","38,160",523,73.2,581,"52,138"
"524","hobbs","38,154",524,80.8,659,"47,220"
"525","buck","38,137",525,89.9,737,"42,441"
"526","kerr","38,136",526,89.2,729,"42,758"
"527","grimes","38,125",527,77.4,626,"49,245"
"528","browning","37,947",528,89,732,"42,642"
"529","keith","37,945",529,81.2,663,"46,747"
"530","collier","37,872",530,69.6,556,"54,414"
"531","mckenzie","37,832",531,68.7,544,"55,084"
"532","morse","37,638",532,91.5,762,"41,112"
"533","conrad","37,539",533,93.6,786,"40,102"
"534","hutchinson","37,482",534,78.4,649,"47,809"
"535","howe","37,412",535,92.3,775,"40,555"
"536","savage","37,359",536,77.2,640,"48,367"
"537","hampton","37,358",537,56.3,451,"66,378"
"538","boyle","37,192",538,95,802,"39,141"
"539","donovan","37,145",539,94.6,799,"39,270"
"540","hebert","37,056",540,92,781,"40,283"
"541","mayer","36,979",541,94.5,803,"39,111"
"542","copeland","36,871",542,68.6,565,"53,771"
"543","nash","36,858",543,72.2,601,"51,021"
"544","bridges","36,822",544,70.5,579,"52,260"
"545","stafford","36,796",545,81.1,689,"45,349"
"546","golden","36,731",546,76.8,648,"47,839"
"547","kent","36,659",547,86.1,733,"42,597"
"548","mcmahon","36,571",548,94.8,819,"38,557"
"549","roach","36,559",549,82.2,704,"44,454"
"550","wilkins","36,556",550,65.2,532,"56,068"
"551","mahoney","36,529",551,92.6,795,"39,440"
"552","peck","36,431",552,92.4,796,"39,432"
"553","hull","36,382",553,87.3,754,"41,656"
"554","lopez","36,360",554,5.9,21,"621,536"
"555","dougherty","36,341",555,95.9,829,"37,903"
"556","beard","36,331",556,77.1,660,"47,128"
"557","conway","36,300",557,83.7,719,"43,395"
"558","case","36,259",558,93.5,813,"38,759"
"559","leach","36,099",559,82.7,714,"43,666"
"560","barr","36,063",560,85,738,"42,432"
"561","leblanc","36,049",561,88.1,767,"40,923"
"562","pennington","36,047",562,89.4,779,"40,339"
